"Descrizione";"Indirizzo";"Comune";"Provincia";"Raggio di validità (in metri)";"Tipologia di scansione accettata";"Stampa tag"
"CONDOMINIO DON MILANI - SAVIGNANO - PULIZIE CONTINUATIVE";"DON MILANI, 31";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"200";"Qualsiasi";""
"CONDOMINIO GAROFANO - RIMINI";"VIA DEL GAROFANO, 3";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO IMAGINE - VIA SARTI RIMINI";"SARTI, 9";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO PALACONGRESSI - RICCIONE";"VIRGILIO, 17";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO RICASOLI - RIMINI";"TRIPOLI, 129";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO SMERALDO - SANTARCANGELO - PULIZIE CONTINUATIVE";"GIUSEPPE DI VITTORIO, 32";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"CONDOMINIO TERMINUS - RIMINI";"PORTO PALOS, 3";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"CONDOMINIO TONIOLO - SAN VITO - PULIZIE CONTINUATIVE";"TONIOLO, 34";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"CONDOMINIO VIA TERRACINI - VILLA VERUCCHIO";"TERRACINI, 11";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"CONDOMINIO VILLA MARIA VARLA - VIA MASSAUA RIMINI";"MASSAUA, 1";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONDOMINIO ZANGHERI 79 - SAVIGNANO - PULIZIE CONTINUATIVE ";"ZANGHERI, 79";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"300";"Qualsiasi";""
"CONDOMINIO ZANGHERI 89 - SAVIGNANO - PULIZIE CONTINUATIVE ";"ZANGHERI, 89";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"300";"Qualsiasi";""
"CONSORZIO GROUP SERVICE - FIERE";"DINA SASSOLI, 24";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONSORZIO GROUP SERVICE - RIMINI";"ORSOLETO , 236";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONSORZIO LOGICA - RIMINI";"VIA UNGHERIA, 3";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CONSORZIO PUNTADIFERRO - FORLI'";"PIAZZALE DELLA COOPERAZIONE, 4";"FORLI'";"FORLI E CESENA";"200";"Qualsiasi";""
"CONSULENZA PER L'IMPRESA - RIMINI";"SOLERI BRANCALEONI, 6";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"COOPERATIVA LAVORATORI DEL MARE - RICCIONE";"CARDUCCI, 18";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"COOPERATIVA LAVORATORI DEL MARE - RIMINI";"FRATELLI LEURINI, 1";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"CTA - RIMINI";"RODRIGUEZ, 3";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"D21.4 - SANTARCANGELO";"PIAZZA MARINI, 32";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"DACHSER & FERCAM - CATTOLICA";"MERCADANTE, 93";"CATTOLICA";"RIMINI";"100";"Qualsiasi";""
"DARSENA RIMINI ";"ORTIGARA, 80";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"DEBAR - SAN GIOVANNI IN MARIGNANO - RIMINI";"DEI CASTAGNI, 200";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"100";"Qualsiasi";""
"DELLAROSA LUBRIFICANTI - RIMINI";"ACHILLE GRANDI, 36";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"DIGITAL PROMOTER - RIMINI";"FLAMINIA CONCA, 85";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"DOTT. STEFANO ROSSI - RIMINI";"C.SO D'AUGUSTO , 81";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"DRENATER - RIMINI";"VIA CASALECCHIO, 27";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"EBER - RIMINI";"VALTURIO, 38";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ECO DEMOLIZIONI - RIMINI";"EMILIA , 177";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ECO DEMOLIZIONI - SANTARCANGELO";"DEL CARPINO, 4";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"EDIFICO - RIMINI";"S.S. 72 CONSOLARE RIMINI-RSM, 15";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"EDILGRID - POGGIO TORRIANA";"FAMIGNANO, 4";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"EGRAM - SANTARCANGELO VIA A. COSTA";"ANDREA COSTA, 111/G";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"EGRAM - SANTARCANGELO VIA BERTOZZI";"BERTOZZI, 102";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"EMCTEST - RIMINI";"MARECCHIESE, 273";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ENERGY BROKER - RIMINI";"COVIGNANO, 75";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"F.LLI ROSSI - POGGIO TORRIANA";"SANTARCANGIOLESE, 29";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"FA AEROPORTO LUIGI RIDOLFI - FORLI - PULIZIE CONTINUATIVE";"CARLO SEGANTI, 103";"FORLI'";"FORLI E CESENA";"150";"Qualsiasi";""
"FCF - ENGEL & VOELKERS - RICCIONE";"DANTE, 88";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"FCF - ENGEL & VOELKERS - RIMINI";"GAMBALUNGA, 10";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FERRAMENTA CITA - RIMINI";"CIRCONVALLAZIONE OCCIDENTALE, 138";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FIERA DI RIMINI - RIMINI";"VIA EMILIA, 155";"RIMINI";"RIMINI";"600";"Qualsiasi";""
"FIERA VICENZA";"DELL'OREFICERIA, 16";"VICENZA";"VICENZA";"100";"Qualsiasi";""
"FIMAR CSR - VILLA VERUCCHIO";"SANDRO PERTINI, 29";"VERUCCHIO";"RIMINI";"300";"Qualsiasi";""
"FIN PROJECT - RIMINI";"FLAMINIA CONCA, 85";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FINANZIARIA VALENTINI - RIMINI";"DON ORESTE BENZI, 1";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FONTEMAGGI - RIMINI";"CASALECCHIO, 39Z";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FORMUL AUSL - DH RICCIONE";"VIALE VENETO, 43";"RICCIONE";"RIMINI";"100";"Qualsiasi";""
"FORMULA AUSL - CATTOLICA PIAZZA REPUBBLICA";"PIAZZA DELLA REPUBBLICA, SNC";"CATTOLICA";"RIMINI";"100";"Qualsiasi";""
"FORMULA AUSL - CATTOLICA VIA BEETHOVEN";"BEETHOVEN, SNC";"CATTOLICA";"RIMINI";"100";"Qualsiasi";""
"FORMULA AUSL - CONSULTORIO VILLA VERUCCHIO";"Piazza Sandra Borsalino, 17";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"FORMULA AUSL - GUARDIA MEDICA ALFERO";"GIACOMO LEOPARDI, 14";"VERGHERETO";"FORLI E CESENA";"100";"Qualsiasi";""
"FORMULA AUSL - OSPEDALE ANGIOLONI SAN PIERO";"VIA GUGLIELMO MARCONI, 36";"BAGNO DI ROMAGNA";"FORLI E CESENA";"100";"Qualsiasi";""
"FORMULA AUSL - OSPEDALE VERUCCHIO";"MONTE UGONE, 5";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"FORMULA AUSL - POLIAMBULATORI SARSINA";"MARTIRI DUNGHERIA, 2";"SARSINA";"FORLI E CESENA";"100";"Qualsiasi";""
"FORMULA AUSL - SERVIZIO VETERINARIO SAN PIERO";"MONTEGRANELLI, 68";"BAGNO DI ROMAGNA";"FORLI E CESENA";"100";"Qualsiasi";""
"FORMULA AUSL - VIA PAGANINI POGGIO TORRIANA";"PAGANINI, 1";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"FORMULA AUSL - VIA SANTARCANGIOLESE POGGIO TORRIANA";"SANTARCANGIOLESE, 5470";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"FORMULA HERA CA BALDACCI - RIMINI";"SAN MARTINO IN XX, 19";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FORMULA ROMAGNA ACQUE - RIMINI";"DARIO CAMPANA, 61";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"FORMULA ROMAGNA ACQUE - S. IN MARIGNANO";"FRASINETO, 585";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"100";"Qualsiasi";""
"FULCROS - RIMINI";"MACANNO, 38B";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"GCS - SANTARCANGELO";"DELL'ARTIGIANATO, 6";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"GEA SERVICE - CA BALDACCI - RIMINI";"SAN MARTINO IN XX, 19";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"GIFIZE FILICORI - RIMINI";"FLAMINIA, 126";"";"RIMINI";"100";"Qualsiasi";""
"GILMAR CSR - SAN GIOVANNI IN MARIGNANO";"MALPASSO, 723/725";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"100";"Qualsiasi";""
"GLOBAL SERVICE - ATELIER EME RIMINI";"MENTANA, 19A";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"GLOBAL SERVICE - DIVEL CENTO";"FERRARESE, 1";"CENTO";"FERRARA";"100";"Qualsiasi";""
"GLOBAL SERVICE - FALCONERI - RIMINI";"CORSO D'AUGUSTO, 138";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"GLOBALFORNITURE - RIMINI - PULIZIE CONTINUATIVE";"MARECCHIESE, 479";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"GOLFERA - LAVEZZOLA";"DELL'INDUSTRIA, 6/8";"RAVENNA";"RAVENNA";"100";"Qualsiasi";""
"GOLFERA - SAN MAURO PASCOLI";"CAVINA, 32";"SAN MAURO PASCOLI";"FORLI E CESENA";"100";"Qualsiasi";""
"GORINI COSTRUZIONI - RIMINI ";"PADRE TOSI, 17";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"GSA CAMPUS RIMINI SOSTITUZIONI";"ANGERA', 22";"RIMINI";"RIMINI";"1000";"Qualsiasi";""
"HARMONT & BLAINE - RIMINI - PULIZIE CONTINUATIVE";"CADUTI DI NASSIRIYA, 20";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"HENOTO - ARSENALE VENEZIA";"SESTIERE CASTELLO, 2732/F";"VENEZIA";"VENEZIA";"1000";"Qualsiasi";""
"HENOTO - FIERA BOLOGNA";"FIERA STREET, 20 ";"BOLOGNA";"BOLOGNA";"100";"Qualsiasi";""
"HENOTO - FIERA VERONA";"VIALE DEL LAVORO, 8";"VERONA";"VERONA";"100";"Qualsiasi";""
"HENOTO - GENOVA";"ASSAROTTI , 13";"GENOVA";"GENOVA";"100";"Qualsiasi";""
"HERA - PIATTAFORMA - BELLARIA";"FORNACE, 14";"BELLARIA-IGEA MARINA";"RIMINI";"1000";"Qualsiasi";""
"HERA CSR - RIMINI";"DINA SASSOLI, 24";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"HI-NET - RIMINI";"FLAMINIA CONCA, 85";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"HUB - CESENATICO";"VIA L. DA VINCI, 32";"CESENATICO";"FORLI E CESENA";"100";"Qualsiasi";""
"I SERRAMI - OKNOPLAST CESENA";"CERVESE, 2636";"CESENA";"FORLI E CESENA";"100";"Qualsiasi";""
"I SERRAMI - OKNOPLAST RIMINI";"COVIGNANO, 107";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"I SERRAMI - OKNOPLAST SANTARCANGELO";"ANDREA COSTA, 78";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"ICO - ALANNO";"E. FERMI, 5";"ALANNO";"PESCARA";"100";"Qualsiasi";""
"ICO - PIANELLA";"M. BELLISARIO, 460";"PIANELLA";"PESCARA";"100";"Qualsiasi";""
"ICO - SAN GIOVANNI TEATINO";"G. AMENDOLA, 168";"SAN GIOVANNI TEATINO";"CHIETI";"100";"Qualsiasi";""
"IDROSANITARIA - RIMINI";"FLAMINIA , 134";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"IEG CSR - FIERA MILANO - SALES BACK OFFICE SPECIALIST";"Strada Statale Sempione, 28, 28";"MILANO";"MILANO";"100";"Qualsiasi";""
"IEG CSR - PALA RIMINI - SUPPORTO UFFICIO TECNICO PALAS";"DELLA FIERA , 23";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"IL MAGLIFICIO  PULIZIE - PIOBBICO - PULIZIE CONTINUATIVE";"ARCIPRETI LONDEI, SNC";"PIOBBICO";"PESARO E URBINO";"200";"Qualsiasi";""
"IL MAGLIFICIO CUCINA - PIOBBICO - PREPARAZIONE PASTI";"ARCIPRETI LONDEI, SNC";"PIOBBICO";"PESARO E URBINO";"200";"Qualsiasi";""
"IMAB - FALASCONI";"VIA FALASCONI, 92";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB  UP01 - METAURO 7";"VIA METAURO, 7";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB UP016 - METAURO 17";"METAURO, 17";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB UP017 - METAURO 13";"METAURO , 13";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB UP02 - VOLTA";"VIA VOLTA, 2";"FERMIGNANO";"PESARO E URBINO";"250";"Qualsiasi";""
"IMAB UP03 - MEUCCI";"VIA MEUCCI, SNC";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB UP07 - PISACANE";"VIA PISACANE, SNC";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB UP08 ASILO - FERMIGNANO";"ENRICO FERMI, SNC";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"IMAB UP11 - CANAVACCIO";"VIA DELL'INDUSTRIA, 19";"FERMIGNANO";"PESARO E URBINO";"200";"Qualsiasi";""
"IMAB UP24 - FERMIGNANO";"VIA BENJAMIN FRANKLIN, 9";"FERMIGNANO";"PESARO E URBINO";"100";"Qualsiasi";""
"INCOS - CASTELLO D'ARGILE";"VIA EINAUDI, 8";"CASTELLO D'ARGILE";"BOLOGNA";"100";"Qualsiasi";""
"INDUSTRIE VALENTINI - VIA RIGOLETTO RIMINI";"RIGOLETTO, 27";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"INTERNATIONAL DESIGN - SANTARCANGELO";"DEL PINO, 21";"SANTARCANGELO DI ROMAGNA";"RIMINI";"200";"Qualsiasi";""
"INTESA GREEN - RIMINI";"GALLA PLACIDIA, 27";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"ITALMEC - SAVIGNANO";"PIETA', 96";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"100";"Qualsiasi";""
"ITALY GREEN POWER - RIMINI";"COVIGNANO, 201";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"ITTICA RIMINESE - RIMINI";"VECCHIA EMILIA, 75";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"IZEOS - VIA CIRCONVALLAZIONE RIMINI";"CIRCONVALLAZIONE, 67";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"IZEOS - VIA DELLA FIERA RIMINI";"DELLA FIERA, 23F";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"JUNECO - RIMINI - PULIZIA CONTINUATIVA";"CADUTI DI NASSIRIYA, 20";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"LA LEGNAMI - SAVIGNANO";"PIETA' , 106";"SAVIGNANO SUL RUBICONE";"FORLI E CESENA";"100";"Qualsiasi";""
"LAB TRAVEL - EUPHEMIA RIMINI";"FLAMINIA, 175E";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"L'ALTRA ROMAGNA - SARSINA - PULIZIE CONTINUATIVE";"ROMA, 24";"SARSINA";"FORLI E CESENA";"100";"Qualsiasi";""
"LASERSOFT - RIMINI";"DON ORESTE BENZI, 1";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"LESEPIDADO - CASTEL SAN PIETRO TERME";"LIGURIA, 8";"CASTEL SAN PIETRO TERME";"BOLOGNA";"100";"Qualsiasi";""
"LIU JO - RIMINI - PULIZIA CONTINUATIVA";"CADUTI DI NASSIRIYA, 20";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"LUVI - PECCATI DI GOLA - RIMINI";"LAGOMAGGIO, 80";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MAICOL COSMI - RIMINI";"RENATA TEBALDI, 29";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MANALY - VICENZA";"CORDELLINA, 100";"SOVIZZO";"VICENZA";"100";"Qualsiasi";""
"MANCINI LOGISTIC - SANTARCANGELO";"BUSCA, 110";"SANTARCANGELO DI ROMAGNA";"RIMINI";"300";"Qualsiasi";""
"MANNY SERVICE - RIMINI";"CORIANO, 58";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MARR CSR - SANTARCANGELO";"DELL'ACERO, 2/4";"SANTARCANGELO DI ROMAGNA";"RIMINI";"300";"Qualsiasi";""
"MARR CSR - VIA SPAGNA RIMINI";"SPAGNA, 20";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"MARR SI FRUTTA VIA CINA - RIMINI";"CINA, 4";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"MATERNA GABBIANO - RIMINI - AUSILIARIATO";"RINALDO ORSINI, 26";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MATERNA GLICINE - RIMINI - AUSILIARIATO ";"VIA ADELIO PAGLIARANI, 2";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MATERNA QUADRIFOGLIO - RIMINI - AUSILIARIATO ";"MIRANDOLA, 6";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MEC EUROPE - RIMINI";"PASTORE, 32";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MEDIA & MEDIA - RIMINI";"PRINCIE AMEDEO, 7";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MERCATO COPERTO - RIMINI";"CASTELFIDARDO, 15";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"METALTECNICA - BELLARIA";"VIVALDI, 13";"BELLARIA-IGEA MARINA";"RIMINI";"100";"Qualsiasi";""
"METALTECNICA - BELLARIA VIA ROSSINI";"G. ROSSINI, 26";"BELLARIA-IGEA MARINA";"RIMINI";"100";"Qualsiasi";""
"MIJIC ARCHITECTS - RIMINI - PULIZIE";"CORSO D'AUGUSTO, 76";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"MONDILLA - RIMINI";"EDELWEISS RODRIGUEZ, 13";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"MONTEVECCHI - RIMINI";"VALENTINI, 11";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MORATO PANE - CERASOLO";"PASCOLI, 20A";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"MOTORIZZAZIONE - RIMINI";"LEA GIACCAGLIA, 2";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"MUSEO GIOIELLO - VICENZA";"Piazza dei Signori, 44";"VICENZA";"VICENZA";"100";"Qualsiasi";""
"MYO - MONDOLFO";"LAGO COSTANZA, 11";"MONDOLFO";"PESARO E URBINO";"100";"Qualsiasi";""
"MYO - POGGIO TORRIANA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"100";"Codice QR";""
"MYO - POGGIO TORRIANA - CLEANING - PULIZIE";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - PICKING CARTA - LOGISTICA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - PICKING GUIDATO - LOGISTICA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - PICKING TRADIZIONALE - LOGISTICA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - REFILING - LOGISTICA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - SCARICO MERCI - LOGISTICA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - UFFICIO";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYO - POGGIO TORRIANA - USCITA MERCI - LOGISTICA";"SANTARCANGIOLESE, 6";"POGGIO TORRIANA";"RIMINI";"200";"Codice QR";""
"MYRA (EX SIGNOR PRESTITO) - RIMINI";"FLAMINIA, 134";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NEURALITY - RIMINI";"RODRIGUEZ, 3";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NGRT - RIMINI VIA EDELWEISS RODRIGUEZ 13";"EDELWEISS RODRIGUEZ, 13";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"NGRT - RIMINI VIA MACANNO";"MACANNO, 38A";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIDO GABBIANO - RIMINI - AUSILIARIATO";"RINALDO ORSINI , 26";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIDO GIROTONDO - RIMINI- AUSILIARIATO ";"CIRCONVALLAZIONE OCCIDENTALE, 55";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIDO GRILLO PARLANTE - RIMINI - AUSILIARIATO";"MIRANDOLA , 2";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIDO PETER PAN - RIMINI ";"BRAVA, 8A";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIDO SCARABOCCHIO - RIMINI - AUSILIARIATO";"MACANNO, 10";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIMAIA - RIMINI";"DI MEZZO, 39";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NIVOLA STYLE - RIMINI";"CIRCONVALLAZIONE, 27";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"NUOVA FAOS CSR - S. GIOVANNI IN MARIGNANO";"CASE NUOVE, 245/A";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"100";"Qualsiasi";""
"NUOVA PLASTICA ADRIATICA - POGGIO TORRIANA";"DELLE INDUSTRIE, 4";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"NUOVA RICERCA - RIMINI";"SETTEMBRINI, 17H";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NUOVA RICERCA - RIMINI CELLE";"VINCINI, 4";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"NUOVA RICERCA - SANTARCANGELO";"SAN MARINO, 176";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"NUOVA RICERCA - SANTARCANGELO VIA EMILIA";"EMILIA, 1939";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"NUOVA RICERCA - VILLA VERUCCHIO";"EUROPA, 36";"VERUCCHIO";"RIMINI";"100";"Qualsiasi";""
"OFFICINA TURBO CAR - CATTOLICA";"BIZET, 20";"CATTOLICA";"RIMINI";"100";"Qualsiasi";""
"OFFICINA TURBO CAR - SAN LEO ";"TORELLO , 27";"SAN LEO";"RIMINI";"100";"Qualsiasi";""
"OPPORTUNITY - SANTARCANGELO";"DEL PROGRESSO, 21";"SANTARCANGELO DI ROMAGNA";"RIMINI";"300";"Qualsiasi";""
"OPPORTUNITY 89 - RIMINI";"RODRIGUEZ SENIOR, 13";"RIMINI";"RIMINI";"200";"Qualsiasi";""
"OSPEDALE ANGIOLONI - SAN PIERO";"GUGLIELMO MARCONI, 36";"BAGNO DI ROMAGNA";"FORLI E CESENA";"150";"Qualsiasi";""
"OTTIMA SERVIZI - RIMINI";"VARIANO, 81/85";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"OUTDOOR 19 - RIMINI";"MARECCHIESE, 166";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"OUTLET GILMAR CSR - SAN GIOVANNI IN MARIGNANO";"DEGLI OLMI, 267";"SAN GIOVANNI IN MARIGNANO";"RIMINI";"100";"Qualsiasi";""
"PAESANI CSR - SANTARCANGELO";"DEL GRANO, 260";"SANTARCANGELO DI ROMAGNA";"RIMINI";"150";"Qualsiasi";""
"PALACONGRESSI - RIMINI";"VIA DELLA FIERA, 23";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PALAZZO CONGRESSI - FIUGGI";"IV GIUGNO, 19";"FIUGGI";"FROSINONE";"300";"Qualsiasi";""
"PARI IMMOBILIARE- RIMINI";"FLAMINIA, 86";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"PARROCCHIA SAN GIROLAMO - RIMINI";"VIALE PRINCIPE AMEDEO, 65";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PASINI - CERASOLO VIA AUSA 59";"AUSA, 59";"CORIANO";"RIMINI";"100";"Qualsiasi";""
"PASINI - RIMINI VIA EMILIA MARIANI 6";"EMILIA MARIANI, 6";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PENSARECASA - PESARO";"DEGLI ARTIGIANI, 5";"PESARO";"PESARO E URBINO";"100";"Qualsiasi";""
"PESARESI GIUSEPPE - RIMINI";"EMILIA , 190";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"PITTARELLO - RIMINI";"CADUTI DI NASSIRIYA, 20";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PNEUS - RIMINI";"XXIII SETTEMBRE, 117";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PNEUS - SANTARCANGELO";"DELL'INDUSTRIA, 22";"SANTARCANGELO DI ROMAGNA";"RIMINI";"100";"Qualsiasi";""
"POLISNACK - CORIANO";"MARANELLO , 25";"CORIANO";"RIMINI";"300";"Qualsiasi";""
"PRIME - RIMINI";"DINA SASSOLI, 24";"RIMINI";"RIMINI";"300";"Qualsiasi";""
"PRO MAN - RIMINI";"EMILIA, 129";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PRODUCO - RIMINI";"MARECCHIESE, 156-159";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PROMOZIONE ALBERGHIERA - VIA SASSONIA 32 RIMINI";"SASSONIA, 32";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PROSTAND - FIERA RIMINI";"EMILIA, 155";"RIMINI";"RIMINI";"100";"Qualsiasi";""
"PROSTAND - VIA SANTARCANGIOLESE 18 POGGIO TORRIANA";"SANTARCANGIOLESE, 18";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"PROSTAND - VIA SANTARCANGIOLESE 52 POGGIO TORRIANA";"SANTARCANGIOLESE, 52";"POGGIO TORRIANA";"RIMINI";"100";"Qualsiasi";""
"R&A CONSULTING – RIMINI";"ARIETE, 18";"RIMINI";"RIMINI";"100";"Qualsiasi";""
